Feature,Importance
origin_balance_error,0.28475353837866396
origin_balance_change,0.2153385418591411
origin_balance_removed_pct,0.1627923622014806
newbalanceOrig,0.08672170614458201
oldbalanceOrg,0.07786442204916096
amount,0.045764857206482934
type_PAYMENT,0.029552666865497658
high_value_transaction,0.021733140068069947
destination_balance_change,0.01817086155998193
type_TRANSFER,0.0134816573689688
step,0.010363638472606854
destination_balance_error,0.010318707536859857
destination_balance_increase_pct,0.008709125331110346
newbalanceDest,0.00750266417396565
oldbalanceDest,0.003973410146899785
type_CASH_OUT,0.00277159139592511
type_DEBIT,0.00018710924060253564
